Year,Num.Year,Site,Initials.Site,Site.Type,Num.SiteType,Point,Point.Type,Species,Devel.Guild,Total,Round
1998,1,Cougar Mountain Park,CM,Reserve,1,5,Forest,BCCH,2,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,5,Forest,PAWR,1,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,5,Forest,PSFL,1,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,5,Forest,WIWA,1,2,1
1998,1,Cougar Mountain Park,CM,Reserve,1,5,Forest,AMRO,2,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,5,Forest,SWTH,1,2,2
1998,1,Cougar Mountain Park,CM,Reserve,1,5,Forest,WAVI,2,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,5,Forest,WIWA,1,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,5,Forest,BHGR,2,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,5,Forest,PSFL,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,5,Forest,SPTO,2,2,3
1998,1,Cougar Mountain Park,CM,Reserve,1,5,Forest,SWTH,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,5,Forest,WIWA,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,5,Forest,BHGR,2,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,5,Forest,BRCR,1,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,5,Forest,PAWR,1,2,4
1998,1,Cougar Mountain Park,CM,Reserve,1,5,Forest,PSFL,1,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,5,Forest,PUFI,1,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,5,Forest,SOSP,2,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,5,Forest,SWTH,1,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,5,Forest,WAVI,2,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,5,Forest,WIWA,1,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,6,Forest,BRCR,1,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,6,Forest,WIWA,1,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,6,Forest,GCKI,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,6,Forest,PAWR,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,6,Forest,PSFL,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,6,Forest,SOSP,2,2,3
1998,1,Cougar Mountain Park,CM,Reserve,1,6,Forest,PSFL,1,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,7,Forest,ANHU,3,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,7,Forest,BCCH,2,2,1
1998,1,Cougar Mountain Park,CM,Reserve,1,7,Forest,PAWR,1,2,1
1998,1,Cougar Mountain Park,CM,Reserve,1,7,Forest,PSFL,1,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,7,Forest,SOSP,2,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,7,Forest,ANHU,3,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,7,Forest,BHGR,2,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,7,Forest,PAWR,1,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,7,Forest,PSFL,1,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,7,Forest,SOSP,2,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,7,Forest,SWTH,1,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,7,Forest,WIWA,1,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,7,Forest,HAWO,1,2,3
1998,1,Cougar Mountain Park,CM,Reserve,1,7,Forest,PAWR,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,7,Forest,PSFL,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,7,Forest,SOSP,2,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,7,Forest,SWTH,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,7,Forest,WETA,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,7,Forest,AMRO,2,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,7,Forest,BCCH,2,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,7,Forest,HAFL,1,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,8,Forest,BCCH,2,2,1
1998,1,Cougar Mountain Park,CM,Reserve,1,8,Forest,BRCR,1,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,8,Forest,PAWR,1,2,1
1998,1,Cougar Mountain Park,CM,Reserve,1,8,Forest,PSFL,1,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,8,Forest,PAWR,1,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,8,Forest,SPTO,2,2,2
1998,1,Cougar Mountain Park,CM,Reserve,1,8,Forest,BRCR,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,8,Forest,HAWO,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,8,Forest,PAWR,1,2,3
1998,1,Cougar Mountain Park,CM,Reserve,1,8,Forest,STJA,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,8,Forest,SWTH,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,8,Forest,WETA,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,8,Forest,BCCH,2,2,4
1998,1,Cougar Mountain Park,CM,Reserve,1,8,Forest,DEJU,2,2,4
1998,1,Cougar Mountain Park,CM,Reserve,1,8,Forest,PAWR,1,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,8,Forest,PSFL,1,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,8,Forest,SPTO,2,2,4
1998,1,Cougar Mountain Park,CM,Reserve,1,8,Forest,SWTH,1,1,4
1998,1,Lee Forest,LF,Reserve,1,1,Forest,AMRO,2,1,1
1998,1,Lee Forest,LF,Reserve,1,1,Forest,GCKI,1,1,1
1998,1,Lee Forest,LF,Reserve,1,1,Forest,PSFL,1,1,1
1998,1,Lee Forest,LF,Reserve,1,1,Forest,BRCR,1,1,2
1998,1,Lee Forest,LF,Reserve,1,1,Forest,PAWR,1,1,2
1998,1,Lee Forest,LF,Reserve,1,1,Forest,PSFL,1,1,2
1998,1,Lee Forest,LF,Reserve,1,1,Forest,BCCH,2,3,3
1998,1,Lee Forest,LF,Reserve,1,1,Forest,BRCR,1,1,3
1998,1,Lee Forest,LF,Reserve,1,1,Forest,PAWR,1,2,3
1998,1,Lee Forest,LF,Reserve,1,1,Forest,PSFL,1,1,3
1998,1,Lee Forest,LF,Reserve,1,1,Forest,STJA,1,4,3
1998,1,Lee Forest,LF,Reserve,1,1,Forest,WETA,1,1,3
1998,1,Lee Forest,LF,Reserve,1,1,Forest,AMRO,2,1,4
1998,1,Lee Forest,LF,Reserve,1,1,Forest,BCCH,2,1,4
1998,1,Lee Forest,LF,Reserve,1,1,Forest,BRCR,1,1,4
1998,1,Lee Forest,LF,Reserve,1,1,Forest,CBCH,1,1,4
1998,1,Lee Forest,LF,Reserve,1,1,Forest,PAWR,1,1,4
1998,1,Lee Forest,LF,Reserve,1,1,Forest,PSFL,1,1,4
1998,1,Lee Forest,LF,Reserve,1,1,Forest,SOSP,2,1,4
1998,1,Lee Forest,LF,Reserve,1,1,Forest,SPTO,2,1,4
1998,1,Lee Forest,LF,Reserve,1,1,Forest,SWTH,1,1,4
1998,1,Lee Forest,LF,Reserve,1,2,Forest,AMRO,2,1,1
1998,1,Lee Forest,LF,Reserve,1,2,Forest,BRCR,1,1,1
1998,1,Lee Forest,LF,Reserve,1,2,Forest,STJA,1,1,1
1998,1,Lee Forest,LF,Reserve,1,2,Forest,WIWA,1,2,1
1998,1,Lee Forest,LF,Reserve,1,2,Forest,BCCH,2,1,2
1998,1,Lee Forest,LF,Reserve,1,2,Forest,BEWR,2,1,2
1998,1,Lee Forest,LF,Reserve,1,2,Forest,BRCR,1,1,2
1998,1,Lee Forest,LF,Reserve,1,2,Forest,GCKI,1,1,2
1998,1,Lee Forest,LF,Reserve,1,2,Forest,VGSW,2,1,2
1998,1,Lee Forest,LF,Reserve,1,2,Forest,GCKI,1,1,3
1998,1,Lee Forest,LF,Reserve,1,2,Forest,PSFL,1,1,3
1998,1,Lee Forest,LF,Reserve,1,2,Forest,STJA,1,2,3
1998,1,Lee Forest,LF,Reserve,1,2,Forest,TOWA,1,1,3
1998,1,Lee Forest,LF,Reserve,1,2,Forest,WETA,1,1,3
1998,1,Lee Forest,LF,Reserve,1,2,Forest,AMRO,2,3,4
1998,1,Lee Forest,LF,Reserve,1,2,Forest,BEWR,2,1,4
1998,1,Lee Forest,LF,Reserve,1,2,Forest,BEWR,2,1,4
1998,1,Lee Forest,LF,Reserve,1,2,Forest,BRCR,1,1,4
1998,1,Lee Forest,LF,Reserve,1,2,Forest,CBCH,1,4,4
1998,1,Lee Forest,LF,Reserve,1,2,Forest,GCKI,1,1,4
1998,1,Lee Forest,LF,Reserve,1,2,Forest,PAWR,1,1,4
1998,1,Lee Forest,LF,Reserve,1,2,Forest,PSFL,1,1,4
1998,1,Lee Forest,LF,Reserve,1,2,Forest,SPTO,2,1,4
1998,1,Lee Forest,LF,Reserve,1,2,Forest,STJA,1,1,4
1998,1,Lee Forest,LF,Reserve,1,2,Forest,SWTH,1,2,4
1998,1,Lee Forest,LF,Reserve,1,2,Forest,WETA,1,1,4
1998,1,Lee Forest,LF,Reserve,1,2,Forest,WIWA,1,1,4
1998,1,Lee Forest,LF,Reserve,1,3,Forest,BRCR,1,2,1
1998,1,Lee Forest,LF,Reserve,1,3,Forest,PAWR,1,1,1
1998,1,Lee Forest,LF,Reserve,1,3,Forest,STJA,1,2,1
1998,1,Lee Forest,LF,Reserve,1,3,Forest,WETA,1,1,1
1998,1,Lee Forest,LF,Reserve,1,3,Forest,BRCR,1,1,2
1998,1,Lee Forest,LF,Reserve,1,3,Forest,BTPI,2,1,2
1998,1,Lee Forest,LF,Reserve,1,3,Forest,CBCH,1,2,2
1998,1,Lee Forest,LF,Reserve,1,3,Forest,PAWR,1,1,2
1998,1,Lee Forest,LF,Reserve,1,3,Forest,RBNU,1,1,2
1998,1,Lee Forest,LF,Reserve,1,3,Forest,STJA,1,1,2
1998,1,Lee Forest,LF,Reserve,1,3,Forest,BCCH,2,1,3
1998,1,Lee Forest,LF,Reserve,1,3,Forest,BEWR,2,1,3
1998,1,Lee Forest,LF,Reserve,1,3,Forest,BHGR,2,1,3
1998,1,Lee Forest,LF,Reserve,1,3,Forest,BRCR,1,1,3
1998,1,Lee Forest,LF,Reserve,1,3,Forest,CBCH,1,1,3
1998,1,Lee Forest,LF,Reserve,1,3,Forest,HAWO,1,1,3
1998,1,Lee Forest,LF,Reserve,1,3,Forest,HUVI,1,2,3
1998,1,Lee Forest,LF,Reserve,1,3,Forest,PSFL,1,1,3
1998,1,Lee Forest,LF,Reserve,1,3,Forest,SPTO,2,1,3
1998,1,Lee Forest,LF,Reserve,1,3,Forest,STJA,1,1,3
1998,1,Lee Forest,LF,Reserve,1,3,Forest,SWTH,1,1,3
1998,1,Lee Forest,LF,Reserve,1,3,Forest,WETA,1,1,3
1998,1,Lee Forest,LF,Reserve,1,3,Forest,STJA,1,1,4
1998,1,Lee Forest,LF,Reserve,1,3,Forest,SWTH,1,2,4
1998,1,Lee Forest,LF,Reserve,1,4,Forest,AMRO,2,2,1
1998,1,Lee Forest,LF,Reserve,1,4,Forest,SOSP,2,1,1
1998,1,Lee Forest,LF,Reserve,1,4,Forest,SPTO,2,2,1
1998,1,Lee Forest,LF,Reserve,1,4,Forest,WIWA,1,1,1
1998,1,Lee Forest,LF,Reserve,1,4,Forest,AMCR,3,1,2
1998,1,Lee Forest,LF,Reserve,1,4,Forest,AMRO,2,1,2
1998,1,Lee Forest,LF,Reserve,1,4,Forest,GCKI,1,1,2
1998,1,Lee Forest,LF,Reserve,1,4,Forest,PAWR,1,1,2
1998,1,Lee Forest,LF,Reserve,1,4,Forest,PSFL,1,1,2
1998,1,Lee Forest,LF,Reserve,1,4,Forest,SPTO,2,1,2
1998,1,Lee Forest,LF,Reserve,1,4,Forest,AMRO,2,1,3
1998,1,Lee Forest,LF,Reserve,1,4,Forest,GCKI,1,2,3
1998,1,Lee Forest,LF,Reserve,1,4,Forest,PAWR,1,1,3
1998,1,Lee Forest,LF,Reserve,1,4,Forest,PSFL,1,1,3
1998,1,Lee Forest,LF,Reserve,1,4,Forest,PUFI,1,1,3
1998,1,Lee Forest,LF,Reserve,1,4,Forest,RBNU,1,1,3
1998,1,Lee Forest,LF,Reserve,1,4,Forest,SPTO,2,1,3
1998,1,Lee Forest,LF,Reserve,1,4,Forest,SWTH,1,2,3
1998,1,Lee Forest,LF,Reserve,1,4,Forest,BRCR,1,2,4
1998,1,Lee Forest,LF,Reserve,1,4,Forest,PSFL,1,1,4
1998,1,Lee Forest,LF,Reserve,1,4,Forest,PSFL,1,1,4
1998,1,Lee Forest,LF,Reserve,1,4,Forest,PUFI,1,1,4
1998,1,Lee Forest,LF,Reserve,1,4,Forest,RBNU,1,1,4
1998,1,Lee Forest,LF,Reserve,1,4,Forest,SPTO,2,1,4
1998,1,Lee Forest,LF,Reserve,1,4,Forest,SPTO,2,1,4
1998,1,Lee Forest,LF,Reserve,1,4,Forest,STJA,1,2,4
1999,2,Cedar River Watershed,CR,Reserve,1,1,Forest,DOWO,1,1,1
1999,2,Cedar River Watershed,CR,Reserve,1,1,Forest,PAWR,1,1,1
1999,2,Cedar River Watershed,CR,Reserve,1,1,Forest,SWTH,1,1,1
1999,2,Cedar River Watershed,CR,Reserve,1,1,Forest,GCKI,1,1,2
1999,2,Cedar River Watershed,CR,Reserve,1,1,Forest,PAWR,1,1,2
1999,2,Cedar River Watershed,CR,Reserve,1,1,Forest,PAWR,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,1,Forest,WETA,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,1,Forest,WIWA,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,1,Forest,BRCR,1,1,4
1999,2,Cedar River Watershed,CR,Reserve,1,1,Forest,GCKI,1,2,4
1999,2,Cedar River Watershed,CR,Reserve,1,1,Forest,PAWR,1,2,4
1999,2,Cedar River Watershed,CR,Reserve,1,2,Forest,WIWA,1,1,1
1999,2,Cedar River Watershed,CR,Reserve,1,2,Forest,BTYW,1,1,2
1999,2,Cedar River Watershed,CR,Reserve,1,2,Forest,PAWR,1,1,2
1999,2,Cedar River Watershed,CR,Reserve,1,2,Forest,BRCR,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,2,Forest,CBCH,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,2,Forest,PSFL,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,2,Forest,RBNU,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,2,Forest,TOWA,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,2,Forest,CBCH,1,1,4
1999,2,Cedar River Watershed,CR,Reserve,1,2,Forest,HAFL,1,1,4
1999,2,Cedar River Watershed,CR,Reserve,1,2,Forest,PAWR,1,1,4
1999,2,Cedar River Watershed,CR,Reserve,1,3,Forest,DOWO,1,1,1
1999,2,Cedar River Watershed,CR,Reserve,1,3,Forest,GCKI,1,2,1
1999,2,Cedar River Watershed,CR,Reserve,1,3,Forest,PAWR,1,1,1
1999,2,Cedar River Watershed,CR,Reserve,1,3,Forest,PSFL,1,1,1
1999,2,Cedar River Watershed,CR,Reserve,1,3,Forest,CBCH,1,1,2
1999,2,Cedar River Watershed,CR,Reserve,1,3,Forest,DEJU,2,1,2
1999,2,Cedar River Watershed,CR,Reserve,1,3,Forest,PAWR,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,3,Forest,TOWA,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,3,Forest,BRCR,1,1,4
1999,2,Cedar River Watershed,CR,Reserve,1,3,Forest,TOWA,1,1,4
1999,2,Cedar River Watershed,CR,Reserve,1,4,Forest,PAWR,1,1,1
1999,2,Cedar River Watershed,CR,Reserve,1,4,Forest,PAWR,1,1,2
1999,2,Cedar River Watershed,CR,Reserve,1,4,Forest,PSFL,1,1,2
1999,2,Cedar River Watershed,CR,Reserve,1,4,Forest,BRCR,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,4,Forest,DEJU,2,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,4,Forest,HAFL,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,4,Forest,AMRO,2,1,4
1999,2,Cedar River Watershed,CR,Reserve,1,4,Forest,PAWR,1,1,4
